MONATSZAHL,AUSPRAEGUNG,JAHR,MONAT,WERT,VORJAHRESWERT,VERAEND_VORMONAT_PROZENT,VERAEND_VORJAHRESMONAT_PROZENT,ZWOELF_MONATE_MITTELWERT,date
Alkoholunfälle,Verletzte und Getötete,2003,200311,31.0,10.0,82.35,210.0,27.0,2003-11-01
Alkoholunfälle,Verletzte und Getötete,2003,200312,27.0,27.0,-12.9,0.0,27.0,2003-12-01
Alkoholunfälle,Verletzte und Getötete,2004,200401,10.0,18.0,-62.96,-44.44,26.0,2004-01-01
Alkoholunfälle,Verletzte und Getötete,2004,200402,21.0,16.0,110.0,31.25,26.0,2004-02-01
Alkoholunfälle,Verletzte und Getötete,2004,200403,18.0,17.0,-14.29,5.88,26.0,2004-03-01
Alkoholunfälle,Verletzte und Getötete,2004,200404,10.0,25.0,-44.44,-60.0,25.0,2004-04-01
Alkoholunfälle,Verletzte und Getötete,2004,200405,30.0,26.0,200.0,15.38,26.0,2004-05-01
Alkoholunfälle,Verletzte und Getötete,2004,200406,25.0,41.0,-16.67,-39.02,24.0,2004-06-01
Alkoholunfälle,Verletzte und Getötete,2004,200407,44.0,35.0,76.0,25.71,25.0,2004-07-01
Alkoholunfälle,Verletzte und Getötete,2004,200408,47.0,40.0,6.82,17.5,26.0,2004-08-01
Alkoholunfälle,Verletzte und Getötete,2004,200409,41.0,26.0,-12.77,57.69,27.0,2004-09-01
Alkoholunfälle,Verletzte und Getötete,2004,200410,26.0,17.0,-36.59,52.94,28.0,2004-10-01
Alkoholunfälle,Verletzte und Getötete,2004,200411,20.0,31.0,-23.08,-35.48,27.0,2004-11-01
Alkoholunfälle,Verletzte und Getötete,2004,200412,12.0,27.0,-40.0,-55.56,25.0,2004-12-01
Alkoholunfälle,Verletzte und Getötete,2005,200501,13.0,10.0,8.33,30.0,26.0,2005-01-01
Alkoholunfälle,Verletzte und Getötete,2005,200502,14.0,21.0,7.69,-33.33,25.0,2005-02-01
Alkoholunfälle,Verletzte und Getötete,2005,200503,13.0,18.0,-7.14,-27.78,25.0,2005-03-01
Alkoholunfälle,Verletzte und Getötete,2005,200504,19.0,10.0,46.15,90.0,25.0,2005-04-01
Alkoholunfälle,Verletzte und Getötete,2005,200505,21.0,30.0,10.53,-30.0,25.0,2005-05-01
Alkoholunfälle,Verletzte und Getötete,2005,200506,31.0,25.0,47.62,24.0,25.0,2005-06-01
Alkoholunfälle,Verletzte und Getötete,2005,200507,26.0,44.0,-16.13,-40.91,24.0,2005-07-01
Alkoholunfälle,Verletzte und Getötete,2005,200508,33.0,47.0,26.92,-29.79,22.0,2005-08-01
Alkoholunfälle,Verletzte und Getötete,2005,200509,50.0,41.0,51.52,21.95,23.0,2005-09-01
Alkoholunfälle,Verletzte und Getötete,2005,200510,35.0,26.0,-30.0,34.62,24.0,2005-10-01
Alkoholunfälle,Verletzte und Getötete,2005,200511,14.0,20.0,-60.0,-30.0,23.0,2005-11-01
Alkoholunfälle,Verletzte und Getötete,2005,200512,12.0,12.0,-14.29,0.0,23.0,2005-12-01
Alkoholunfälle,Verletzte und Getötete,2006,200601,21.0,13.0,75.0,61.54,24.0,2006-01-01
Alkoholunfälle,Verletzte und Getötete,2006,200602,21.0,14.0,0.0,50.0,25.0,2006-02-01
Alkoholunfälle,Verletzte und Getötete,2006,200603,14.0,13.0,-33.33,7.69,25.0,2006-03-01
Alkoholunfälle,Verletzte und Getötete,2006,200604,16.0,19.0,14.29,-15.79,25.0,2006-04-01
Alkoholunfälle,Verletzte und Getötete,2006,200605,28.0,21.0,75.0,33.33,25.0,2006-05-01
Alkoholunfälle,Verletzte und Getötete,2006,200606,22.0,31.0,-21.43,-29.03,24.0,2006-06-01
Alkoholunfälle,Verletzte und Getötete,2006,200607,37.0,26.0,68.18,42.31,25.0,2006-07-01
Alkoholunfälle,Verletzte und Getötete,2006,200608,25.0,33.0,-32.43,-24.24,25.0,2006-08-01
Alkoholunfälle,Verletzte und Getötete,2006,200609,35.0,50.0,40.0,-30.0,23.0,2006-09-01
Alkoholunfälle,Verletzte und Getötete,2006,200610,24.0,35.0,-31.43,-31.43,22.0,2006-10-01
Alkoholunfälle,Verletzte und Getötete,2006,200611,22.0,14.0,-8.33,57.14,23.0,2006-11-01
Alkoholunfälle,Verletzte und Getötete,2006,200612,21.0,12.0,-4.55,75.0,24.0,2006-12-01
Alkoholunfälle,Verletzte und Getötete,2007,200701,13.0,21.0,-38.1,-38.1,23.0,2007-01-01
Alkoholunfälle,Verletzte und Getötete,2007,200702,15.0,21.0,15.38,-28.57,23.0,2007-02-01
Alkoholunfälle,Verletzte und Getötete,2007,200703,14.0,14.0,-6.67,0.0,23.0,2007-03-01
Alkoholunfälle,Verletzte und Getötete,2007,200704,27.0,16.0,92.86,68.75,24.0,2007-04-01
Alkoholunfälle,Verletzte und Getötete,2007,200705,39.0,28.0,44.44,39.29,25.0,2007-05-01
Alkoholunfälle,Verletzte und Getötete,2007,200706,27.0,22.0,-30.77,22.73,25.0,2007-06-01
Alkoholunfälle,Verletzte und Getötete,2007,200707,38.0,37.0,40.74,2.7,25.0,2007-07-01
Alkoholunfälle,Verletzte und Getötete,2007,200708,20.0,25.0,-47.37,-20.0,25.0,2007-08-01
Alkoholunfälle,Verletzte und Getötete,2007,200709,24.0,35.0,20.0,-31.43,24.0,2007-09-01
Alkoholunfälle,Verletzte und Getötete,2007,200710,18.0,24.0,-25.0,-25.0,23.0,2007-10-01
Alkoholunfälle,Verletzte und Getötete,2007,200711,26.0,22.0,44.44,18.18,24.0,2007-11-01
Alkoholunfälle,Verletzte und Getötete,2007,200712,20.0,21.0,-23.08,-4.76,23.0,2007-12-01
Alkoholunfälle,Verletzte und Getötete,2008,200801,8.0,13.0,-60.0,-38.46,23.0,2008-01-01
Alkoholunfälle,Verletzte und Getötete,2008,200802,16.0,15.0,100.0,6.67,23.0,2008-02-01
Alkoholunfälle,Verletzte und Getötete,2008,200803,9.0,14.0,-43.75,-35.71,23.0,2008-03-01
Alkoholunfälle,Verletzte und Getötete,2008,200804,10.0,27.0,11.11,-62.96,21.0,2008-04-01
Alkoholunfälle,Verletzte und Getötete,2008,200805,37.0,39.0,270.0,-5.13,21.0,2008-05-01
Alkoholunfälle,Verletzte und Getötete,2008,200806,32.0,27.0,-13.51,18.52,22.0,2008-06-01
Alkoholunfälle,Verletzte und Getötete,2008,200807,24.0,38.0,-25.0,-36.84,20.0,2008-07-01
Alkoholunfälle,Verletzte und Getötete,2008,200808,23.0,20.0,-4.17,15.0,21.0,2008-08-01
Alkoholunfälle,Verletzte und Getötete,2008,200809,28.0,24.0,21.74,16.67,21.0,2008-09-01
Alkoholunfälle,Verletzte und Getötete,2008,200810,19.0,18.0,-32.14,5.56,21.0,2008-10-01
Alkoholunfälle,Verletzte und Getötete,2008,200811,14.0,26.0,-26.32,-46.15,20.0,2008-11-01
Alkoholunfälle,Verletzte und Getötete,2008,200812,20.0,20.0,42.86,0.0,20.0,2008-12-01
Alkoholunfälle,Verletzte und Getötete,2009,200901,7.0,8.0,-65.0,-12.5,20.0,2009-01-01
Alkoholunfälle,Verletzte und Getötete,2009,200902,12.0,16.0,71.43,-25.0,20.0,2009-02-01
Alkoholunfälle,Verletzte und Getötete,2009,200903,5.0,9.0,-58.33,-44.44,19.0,2009-03-01
Alkoholunfälle,Verletzte und Getötete,2009,200904,31.0,10.0,520.0,210.0,21.0,2009-04-01
Alkoholunfälle,Verletzte und Getötete,2009,200905,34.0,37.0,9.68,-8.11,21.0,2009-05-01
Alkoholunfälle,Verletzte und Getötete,2009,200906,19.0,32.0,-44.12,-40.63,20.0,2009-06-01
Alkoholunfälle,Verletzte und Getötete,2009,200907,27.0,24.0,42.11,12.5,20.0,2009-07-01
Alkoholunfälle,Verletzte und Getötete,2009,200908,26.0,23.0,-3.7,13.04,20.0,2009-08-01
Alkoholunfälle,Verletzte und Getötete,2009,200909,18.0,28.0,-30.77,-35.71,19.0,2009-09-01
Alkoholunfälle,Verletzte und Getötete,2009,200910,15.0,19.0,-16.67,-21.05,19.0,2009-10-01
Alkoholunfälle,Verletzte und Getötete,2009,200911,5.0,14.0,-66.67,-64.29,18.0,2009-11-01
Alkoholunfälle,Verletzte und Getötete,2009,200912,14.0,20.0,180.0,-30.0,18.0,2009-12-01
Alkoholunfälle,Verletzte und Getötete,2010,201001,7.0,7.0,-50.0,0.0,18.0,2010-01-01
Alkoholunfälle,Verletzte und Getötete,2010,201002,10.0,12.0,42.86,-16.67,18.0,2010-02-01
Alkoholunfälle,Verletzte und Getötete,2010,201003,12.0,5.0,20.0,140.0,18.0,2010-03-01
Alkoholunfälle,Verletzte und Getötete,2010,201004,25.0,31.0,108.33,-19.35,18.0,2010-04-01
Alkoholunfälle,Verletzte und Getötete,2010,201005,15.0,34.0,-40.0,-55.88,16.0,2010-05-01
Alkoholunfälle,Verletzte und Getötete,2010,201006,20.0,19.0,33.33,5.26,16.0,2010-06-01
Alkoholunfälle,Verletzte und Getötete,2010,201007,29.0,27.0,45.0,7.41,16.0,2010-07-01
Alkoholunfälle,Verletzte und Getötete,2010,201008,25.0,26.0,-13.79,-3.85,16.0,2010-08-01
Alkoholunfälle,Verletzte und Getötete,2010,201009,26.0,18.0,4.0,44.44,17.0,2010-09-01
Alkoholunfälle,Verletzte und Getötete,2010,201010,13.0,15.0,-50.0,-13.33,17.0,2010-10-01
Alkoholunfälle,Verletzte und Getötete,2010,201011,7.0,5.0,-46.15,40.0,17.0,2010-11-01
Alkoholunfälle,Verletzte und Getötete,2010,201012,12.0,14.0,71.43,-14.29,17.0,2010-12-01
Alkoholunfälle,Verletzte und Getötete,2011,201101,16.0,7.0,33.33,128.57,18.0,2011-01-01
Alkoholunfälle,Verletzte und Getötete,2011,201102,7.0,10.0,-56.25,-30.0,17.0,2011-02-01
Alkoholunfälle,Verletzte und Getötete,2011,201103,9.0,12.0,28.57,-25.0,17.0,2011-03-01
Alkoholunfälle,Verletzte und Getötete,2011,201104,27.0,25.0,200.0,8.0,17.0,2011-04-01
Alkoholunfälle,Verletzte und Getötete,2011,201105,20.0,15.0,-25.93,33.33,18.0,2011-05-01
Alkoholunfälle,Verletzte und Getötete,2011,201106,21.0,20.0,5.0,5.0,18.0,2011-06-01
Alkoholunfälle,Verletzte und Getötete,2011,201107,27.0,29.0,28.57,-6.9,18.0,2011-07-01
Alkoholunfälle,Verletzte und Getötete,2011,201108,17.0,25.0,-37.04,-32.0,17.0,2011-08-01
Alkoholunfälle,Verletzte und Getötete,2011,201109,22.0,26.0,29.41,-15.38,17.0,2011-09-01
Alkoholunfälle,Verletzte und Getötete,2011,201110,10.0,13.0,-54.55,-23.08,16.0,2011-10-01
Alkoholunfälle,Verletzte und Getötete,2011,201111,16.0,7.0,60.0,128.57,17.0,2011-11-01
Alkoholunfälle,Verletzte und Getötete,2011,201112,6.0,12.0,-62.5,-50.0,17.0,2011-12-01
Alkoholunfälle,Verletzte und Getötete,2012,201201,11.0,16.0,83.33,-31.25,16.0,2012-01-01
Alkoholunfälle,Verletzte und Getötete,2012,201202,5.0,7.0,-54.55,-28.57,16.0,2012-02-01
Alkoholunfälle,Verletzte und Getötete,2012,201203,5.0,9.0,0.0,-44.44,16.0,2012-03-01
Alkoholunfälle,Verletzte und Getötete,2012,201204,22.0,27.0,340.0,-18.52,15.0,2012-04-01
Alkoholunfälle,Verletzte und Getötete,2012,201205,33.0,20.0,50.0,65.0,16.0,2012-05-01
Alkoholunfälle,Verletzte und Getötete,2012,201206,35.0,21.0,6.06,66.67,17.0,2012-06-01
Alkoholunfälle,Verletzte und Getötete,2012,201207,30.0,27.0,-14.29,11.11,18.0,2012-07-01
Alkoholunfälle,Verletzte und Getötete,2012,201208,31.0,17.0,3.33,82.35,19.0,2012-08-01
Alkoholunfälle,Verletzte und Getötete,2012,201209,24.0,22.0,-22.58,9.09,19.0,2012-09-01
Alkoholunfälle,Verletzte und Getötete,2012,201210,6.0,10.0,-75.0,-40.0,19.0,2012-10-01
Alkoholunfälle,Verletzte und Getötete,2012,201211,10.0,16.0,66.67,-37.5,18.0,2012-11-01
Alkoholunfälle,Verletzte und Getötete,2012,201212,11.0,6.0,10.0,83.33,19.0,2012-12-01
Alkoholunfälle,Verletzte und Getötete,2013,201301,2.0,11.0,-81.82,-81.82,18.0,2013-01-01
Alkoholunfälle,Verletzte und Getötete,2013,201302,0.0,5.0,-100.0,-100.0,17.0,2013-02-01
Alkoholunfälle,Verletzte und Getötete,2013,201303,8.0,5.0,0.0,60.0,18.0,2013-03-01
Alkoholunfälle,Verletzte und Getötete,2013,201304,5.0,22.0,-37.5,-77.27,16.0,2013-04-01
Alkoholunfälle,Verletzte und Getötete,2013,201305,21.0,33.0,320.0,-36.36,15.0,2013-05-01
Alkoholunfälle,Verletzte und Getötete,2013,201306,20.0,35.0,-4.76,-42.86,14.0,2013-06-01
Alkoholunfälle,Verletzte und Getötete,2013,201307,24.0,30.0,20.0,-20.0,14.0,2013-07-01
Alkoholunfälle,Verletzte und Getötete,2013,201308,22.0,31.0,-8.33,-29.03,13.0,2013-08-01
Alkoholunfälle,Verletzte und Getötete,2013,201309,17.0,24.0,-22.73,-29.17,12.0,2013-09-01
Alkoholunfälle,Verletzte und Getötete,2013,201310,12.0,6.0,-29.41,100.0,13.0,2013-10-01
Alkoholunfälle,Verletzte und Getötete,2013,201311,12.0,10.0,0.0,20.0,13.0,2013-11-01
Alkoholunfälle,Verletzte und Getötete,2013,201312,10.0,11.0,-16.67,-9.09,13.0,2013-12-01
Alkoholunfälle,Verletzte und Getötete,2014,201401,4.0,2.0,-60.0,100.0,13.0,2014-01-01
Alkoholunfälle,Verletzte und Getötete,2014,201402,7.0,0.0,75.0,0.0,14.0,2014-02-01
Alkoholunfälle,Verletzte und Getötete,2014,201403,16.0,8.0,128.57,100.0,14.0,2014-03-01
Alkoholunfälle,Verletzte und Getötete,2014,201404,15.0,5.0,-6.25,200.0,15.0,2014-04-01
Alkoholunfälle,Verletzte und Getötete,2014,201405,19.0,21.0,26.67,-9.52,15.0,2014-05-01
Alkoholunfälle,Verletzte und Getötete,2014,201406,16.0,20.0,-15.79,-20.0,15.0,2014-06-01
Alkoholunfälle,Verletzte und Getötete,2014,201407,21.0,24.0,31.25,-12.5,14.0,2014-07-01
Alkoholunfälle,Verletzte und Getötete,2014,201408,13.0,22.0,-38.1,-40.91,14.0,2014-08-01
Alkoholunfälle,Verletzte und Getötete,2014,201409,18.0,17.0,38.46,5.88,14.0,2014-09-01
Alkoholunfälle,Verletzte und Getötete,2014,201410,21.0,12.0,16.67,75.0,14.0,2014-10-01
Alkoholunfälle,Verletzte und Getötete,2014,201411,14.0,12.0,-33.33,16.67,15.0,2014-11-01
Alkoholunfälle,Verletzte und Getötete,2014,201412,3.0,10.0,-78.57,-70.0,14.0,2014-12-01
Alkoholunfälle,Verletzte und Getötete,2015,201501,21.0,4.0,600.0,425.0,15.0,2015-01-01
Alkoholunfälle,Verletzte und Getötete,2015,201502,3.0,7.0,-85.71,-57.14,15.0,2015-02-01
Alkoholunfälle,Verletzte und Getötete,2015,201503,9.0,16.0,200.0,-43.75,14.0,2015-03-01
Alkoholunfälle,Verletzte und Getötete,2015,201504,23.0,15.0,155.56,53.33,15.0,2015-04-01
Alkoholunfälle,Verletzte und Getötete,2015,201505,30.0,19.0,30.43,57.89,16.0,2015-05-01
Alkoholunfälle,Verletzte und Getötete,2015,201506,19.0,16.0,-36.67,18.75,16.0,2015-06-01
Alkoholunfälle,Verletzte und Getötete,2015,201507,37.0,21.0,94.74,76.19,18.0,2015-07-01
Alkoholunfälle,Verletzte und Getötete,2015,201508,29.0,13.0,-21.62,123.08,19.0,2015-08-01
Alkoholunfälle,Verletzte und Getötete,2015,201509,25.0,18.0,-13.79,38.89,20.0,2015-09-01
Alkoholunfälle,Verletzte und Getötete,2015,201510,12.0,21.0,-52.0,-42.86,19.0,2015-10-01
Alkoholunfälle,Verletzte und Getötete,2015,201511,11.0,14.0,-8.33,-21.43,19.0,2015-11-01
Alkoholunfälle,Verletzte und Getötete,2015,201512,6.0,3.0,-45.45,100.0,19.0,2015-12-01
Alkoholunfälle,Verletzte und Getötete,2016,201601,6.0,21.0,0.0,-71.43,18.0,2016-01-01
Alkoholunfälle,Verletzte und Getötete,2016,201602,3.0,3.0,-50.0,0.0,18.0,2016-02-01
Alkoholunfälle,Verletzte und Getötete,2016,201603,6.0,9.0,100.0,-33.33,17.0,2016-03-01
Alkoholunfälle,Verletzte und Getötete,2016,201604,8.0,23.0,33.33,-65.22,16.0,2016-04-01
Alkoholunfälle,Verletzte und Getötete,2016,201605,17.0,30.0,112.5,-43.33,15.0,2016-05-01
Alkoholunfälle,Verletzte und Getötete,2016,201606,19.0,19.0,11.76,0.0,15.0,2016-06-01
Alkoholunfälle,Verletzte und Getötete,2016,201607,23.0,37.0,21.05,-37.84,14.0,2016-07-01
Alkoholunfälle,Verletzte und Getötete,2016,201608,12.0,29.0,-47.83,-58.62,12.0,2016-08-01
Alkoholunfälle,Verletzte und Getötete,2016,201609,22.0,25.0,83.33,-12.0,12.0,2016-09-01
Alkoholunfälle,Verletzte und Getötete,2016,201610,11.0,12.0,-50.0,-8.33,12.0,2016-10-01
Alkoholunfälle,Verletzte und Getötete,2016,201611,7.0,11.0,-36.36,-36.36,12.0,2016-11-01
Alkoholunfälle,Verletzte und Getötete,2016,201612,10.0,6.0,42.86,66.67,12.0,2016-12-01
Alkoholunfälle,Verletzte und Getötete,2017,201701,4.0,6.0,-60.0,-33.33,12.0,2017-01-01
Alkoholunfälle,Verletzte und Getötete,2017,201702,4.0,3.0,0.0,33.33,12.0,2017-02-01
Alkoholunfälle,Verletzte und Getötete,2017,201703,15.0,6.0,275.0,150.0,13.0,2017-03-01
Alkoholunfälle,Verletzte und Getötete,2017,201704,10.0,8.0,-33.33,25.0,13.0,2017-04-01
Alkoholunfälle,Verletzte und Getötete,2017,201705,16.0,17.0,60.0,-5.88,13.0,2017-05-01
Alkoholunfälle,Verletzte und Getötete,2017,201706,27.0,19.0,68.75,42.11,13.0,2017-06-01
Alkoholunfälle,Verletzte und Getötete,2017,201707,18.0,23.0,-33.33,-21.74,13.0,2017-07-01
Alkoholunfälle,Verletzte und Getötete,2017,201708,14.0,12.0,-22.22,16.67,13.0,2017-08-01
Alkoholunfälle,Verletzte und Getötete,2017,201709,22.0,22.0,57.14,0.0,13.0,2017-09-01
Alkoholunfälle,Verletzte und Getötete,2017,201710,16.0,11.0,-27.27,45.45,14.0,2017-10-01
Alkoholunfälle,Verletzte und Getötete,2017,201711,13.0,7.0,-18.75,85.71,14.0,2017-11-01
Alkoholunfälle,Verletzte und Getötete,2017,201712,17.0,10.0,30.77,70.0,15.0,2017-12-01
Alkoholunfälle,Verletzte und Getötete,2018,201801,8.0,4.0,-52.94,100.0,15.0,2018-01-01
Alkoholunfälle,Verletzte und Getötete,2018,201802,13.0,4.0,62.5,225.0,16.0,2018-02-01
Alkoholunfälle,Verletzte und Getötete,2018,201803,12.0,15.0,-7.69,-20.0,16.0,2018-03-01
Alkoholunfälle,Verletzte und Getötete,2018,201804,8.0,10.0,-33.33,-20.0,15.0,2018-04-01
Alkoholunfälle,Verletzte und Getötete,2018,201805,23.0,16.0,187.5,43.75,16.0,2018-05-01
Alkoholunfälle,Verletzte und Getötete,2018,201806,14.0,27.0,-39.13,-48.15,15.0,2018-06-01
Alkoholunfälle,Verletzte und Getötete,2018,201807,29.0,18.0,107.14,61.11,16.0,2018-07-01
Alkoholunfälle,Verletzte und Getötete,2018,201808,18.0,14.0,-37.93,28.57,16.0,2018-08-01
Alkoholunfälle,Verletzte und Getötete,2018,201809,22.0,22.0,22.22,0.0,16.0,2018-09-01
Alkoholunfälle,Verletzte und Getötete,2018,201810,16.0,16.0,-27.27,0.0,16.0,2018-10-01
Alkoholunfälle,Verletzte und Getötete,2018,201811,13.0,13.0,-18.75,0.0,16.0,2018-11-01
Alkoholunfälle,Verletzte und Getötete,2018,201812,6.0,17.0,-53.85,-64.71,15.0,2018-12-01
Alkoholunfälle,Verletzte und Getötete,2019,201901,7.0,8.0,16.67,-12.5,15.0,2019-01-01
Alkoholunfälle,Verletzte und Getötete,2019,201902,7.0,13.0,0.0,-46.15,15.0,2019-02-01
Alkoholunfälle,Verletzte und Getötete,2019,201903,22.0,12.0,214.29,83.33,15.0,2019-03-01
Alkoholunfälle,Verletzte und Getötete,2019,201904,18.0,8.0,-18.18,125.0,16.0,2019-04-01
Alkoholunfälle,Verletzte und Getötete,2019,201905,21.0,23.0,16.67,-8.7,16.0,2019-05-01
Alkoholunfälle,Verletzte und Getötete,2019,201906,24.0,14.0,14.29,71.43,17.0,2019-06-01
Alkoholunfälle,Verletzte und Getötete,2019,201907,34.0,29.0,41.67,17.24,17.0,2019-07-01
Alkoholunfälle,Verletzte und Getötete,2019,201908,23.0,18.0,-32.35,27.78,18.0,2019-08-01
Alkoholunfälle,Verletzte und Getötete,2019,201909,20.0,22.0,-13.04,-9.09,18.0,2019-09-01
Alkoholunfälle,Verletzte und Getötete,2019,201910,20.0,16.0,0.0,25.0,18.0,2019-10-01
Alkoholunfälle,Verletzte und Getötete,2019,201911,19.0,13.0,-5.0,46.15,18.0,2019-11-01
Alkoholunfälle,Verletzte und Getötete,2019,201912,12.0,6.0,-36.84,100.0,19.0,2019-12-01
Alkoholunfälle,Verletzte und Getötete,2020,202001,11.0,7.0,-8.33,57.14,19.0,2020-01-01
Alkoholunfälle,Verletzte und Getötete,2020,202002,19.0,7.0,72.73,171.43,20.0,2020-02-01
Alkoholunfälle,Verletzte und Getötete,2020,202003,13.0,22.0,-31.58,-40.91,20.0,2020-03-01
Alkoholunfälle,Verletzte und Getötete,2020,202004,15.0,18.0,15.38,-16.67,19.0,2020-04-01
Alkoholunfälle,Verletzte und Getötete,2020,202005,26.0,21.0,73.33,23.81,20.0,2020-05-01
Alkoholunfälle,Verletzte und Getötete,2020,202006,30.0,24.0,15.38,25.0,20.0,2020-06-01
Alkoholunfälle,Verletzte und Getötete,2020,202007,43.0,34.0,43.33,26.47,21.0,2020-07-01
Alkoholunfälle,Verletzte und Getötete,2020,202008,29.0,23.0,-32.56,26.09,21.0,2020-08-01
Alkoholunfälle,Verletzte und Getötete,2020,202009,24.0,20.0,-17.24,20.0,22.0,2020-09-01
Alkoholunfälle,Verletzte und Getötete,2020,202010,20.0,20.0,-16.67,0.0,22.0,2020-10-01
